country,country_code,region,subregion,state,state_code,state_level,city,city_code,city_level,latitude,longitude,timezone
Vietnam,VNM,Northern,Red River Delta,Hà Nam,,province,,,,,,
Vietnam,VNM,Northern,Red River Delta,Hà Nội,,municipality,Hà Nội,,,21.02,105.84,7
Vietnam,VNM,Northern,Red River Delta,Hải Dương,,province,,,,,,
Vietnam,VNM,Northern,Red River Delta,Hải Phòng,,municipality,Hải Phòng,,,,,7
Vietnam,VNM,Northern,Red River Delta,Hưng Yên,,province,,,,,,
Vietnam,VNM,Northern,Red River Delta,Nam Định,,province,,,,,,
Vietnam,VNM,Northern,Red River Delta,Ninh Bình,,province,,,,,,
Vietnam,VNM,Northern,Red River Delta,Thái Bình,,province,,,,,,
Vietnam,VNM,Northern,Red River Delta,Vĩnh Phúc,,province,,,,,,
Vietnam,VNM,Central,North Central,Hà Tĩnh,,province,,,,,,
Vietnam,VNM,Central,North Central,Nghệ An,,province,,,,,,
Vietnam,VNM,Central,North Central,Quảng Bình,,province,,,,,,
Vietnam,VNM,Central,North Central,Quảng Trị,,province,,,,,,
Vietnam,VNM,Central,North Central,Thanh Hóa,,province,,,,,,
Vietnam,VNM,Central,North Central,Thừa Thiên–Huế,,province,,,,,,
Vietnam,VNM,Central,South Central Coast,Bình Định,,province,,,,,,
Vietnam,VNM,Central,South Central Coast,Bình Thuận,,province,,,,,,
Vietnam,VNM,Central,South Central Coast,Đà Nẵng,,municipality,Đà Nẵng,,,16.07,108.22,7
Vietnam,VNM,Central,South Central Coast,Khánh Hòa,,province,,,,,,
Vietnam,VNM,Central,South Central Coast,Ninh Thuận,,province,,,,,,
Vietnam,VNM,Central,South Central Coast,Phú Yên,,province,,,,,,
Vietnam,VNM,Central,South Central Coast,Quảng Nam,,province,,,,,,
Vietnam,VNM,Central,South Central Coast,Quảng Ngãi,,province,,,,,,
Vietnam,VNM,Central,Central Highlands,Đắc Lắc,,province,,,,,,
Vietnam,VNM,Central,Central Highlands,Đắk Nông,,province,,,,,,
Vietnam,VNM,Central,Central Highlands,Gia Lai,,province,,,,,,
Vietnam,VNM,Central,Central Highlands,Kon Tum,,province,,,,,,
Vietnam,VNM,Central,Central Highlands,Lâm Đồng,,province,,,,,,
Vietnam,VNM,Southern,Southeast,Bà Rịa–Vũng Tàu,,province,,,,,,
Vietnam,VNM,Southern,Southeast,Bình Dương,,province,,,,,,
Vietnam,VNM,Southern,Southeast,Bình Phước,,province,,,,,,
Vietnam,VNM,Southern,Southeast,Đồng Nai,,province,,,,,,
Vietnam,VNM,Southern,Southeast,Hồ Chí Minh,,municipality,Hồ Chí Minh,,,10.82,106.63,7
Vietnam,VNM,Southern,Southeast,Tây Ninh,,province,,,,,,
Vietnam,VNM,Southern,Mekong River Delta,An Giang,,province,,,,,,
Vietnam,VNM,Southern,Mekong River Delta,Bến Tre,,province,,,,,,
Vietnam,VNM,Southern,Mekong River Delta,Bạc Liêu,,province,,,,,,
Vietnam,VNM,Southern,Mekong River Delta,Cà Mau,,province,,,,,,
Vietnam,VNM,Southern,Mekong River Delta,Cần Thơ,,municipality,Cần Thơ,,,,,
Vietnam,VNM,Southern,Mekong River Delta,Đồng Tháp,,province,,,,,,
Vietnam,VNM,Southern,Mekong River Delta,Hậu Giang,,province,,,,,,
Vietnam,VNM,Southern,Mekong River Delta,Kiên Giang,,province,,,,,,
Vietnam,VNM,Southern,Mekong River Delta,Long An,,province,,,,,,
Vietnam,VNM,Southern,Mekong River Delta,Sóc Trăng,,province,,,,,,
